Game #,Date,Time,Type,Status,Home,Score,Away,Score,Venue,Rink
149152301,2025-09-07,14:30:00,Game,Final,Jr. Kings (1),6,Surf,0,Paramount Ice Land,NHL
149152283,2025-09-14,14:15:00,Game,Final,Jr. Kings (1),2,Empire HC,5,Toyota Sport Center,NHL
149152256,2025-09-21,11:15:00,Game,Final,Jr. Kings (1),1,OC Hockey (1),3,Toyota Sport Center,OLY
149152265,2025-10-05,16:15:00,Game,Scheduled,Jr. Kings (1),--,Heat,--,Paramount Ice Land,NHL
149152286,2025-10-12,15:00:00,Game,Scheduled,Avalanche,--,Jr. Kings (1),--,Aliso Viejo Ice,1
149152290,2025-10-19,08:40:00,Game,Scheduled,Surf,--,Jr. Kings (1),--,Ice Realm,MAIN
149152292,2025-11-02,08:45:00,Game,Scheduled,Empire HC,--,Jr. Kings (1),--,Ontario Center Ice,Main
149152285,2025-11-09,17:00:00,Game,Scheduled,OC Hockey (1),--,Jr. Kings (1),--,YorbaLinda ICE,YLICE
149152288,2025-11-16,10:30:00,Game,Scheduled,Heat,--,Jr. Kings (1),--,Valley Center Ice,Glacier
149152287,2025-11-23,08:45:00,Game,Scheduled,Avalanche,--,Jr. Kings (1),--,Lake Forest IP,1
149152284,2025-12-14,08:45:00,Game,Scheduled,Jr. Kings (1),--,Empire HC,--,Paramount Ice Land,NHL
149152291,2025-12-21,12:00:00,Game,Scheduled,Surf,--,Jr. Kings (1),--,Ice Realm,MAIN
149152289,2026-01-11,12:15:00,Game,Scheduled,Heat,--,Jr. Kings (1),--,Valley Center Ice,Glacier
149152257,2026-01-25,16:15:00,Game,Scheduled,Jr. Kings (1),--,OC Hockey (1),--,Paramount Ice Land,NHL
149152293,2026-02-01,10:30:00,Game,Scheduled,Empire HC,--,Jr. Kings (1),--,Ontario Center Ice,Main
149152275,2026-02-08,07:00:00,Game,Scheduled,Jr. Kings (1),--,Avalanche,--,Paramount Ice Land,NHL
149152302,2026-02-22,08:45:00,Game,Scheduled,Jr. Kings (1),--,Surf,--,Paramount Ice Land,NHL
149152266,2026-03-01,08:45:00,Game,Scheduled,Jr. Kings (1),--,Heat,--,Paramount Ice Land,NHL
